"station_id","obsTime","ELEV","RAIN","MIN_10","HOUR_3","HOUR_6","HOUR_12","HOUR_24","NOW"
"A1AD50","2022-09-11 00:00:00","121.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0C630","2022-09-11 00:00:00","209.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81M700","2022-09-11 00:00:00","1044.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"L1A840","2022-09-11 00:00:00","403.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"A2N290","2022-09-11 00:00:00","23.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81M660","2022-09-11 00:00:00","1186.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"C1Z130","2022-09-11 00:00:00","187.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0AD30","2022-09-11 00:00:00","20.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0D430","2022-09-11 00:00:00","87.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R680","2022-09-11 00:00:00","4.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X210","2022-09-11 00:00:00","38.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01A440","2022-09-11 00:00:00","916.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAQ030","2022-09-11 00:00:00","10.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAC040","2022-09-11 00:00:00","1684.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"O1M640","2022-09-11 00:00:00","1052.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"O1M650","2022-09-11 00:00:00","850.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"88V560","2022-09-11 00:00:00","403.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0O960","2022-09-11 00:00:00","112.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1E511","2022-09-11 00:00:00","326.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0H950","2022-09-11 00:00:00","192.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1M400","2022-09-11 00:00:00","369.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAC020","2022-09-11 00:00:00","109.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01D110","2022-09-11 00:00:00","560.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1I400","2022-09-11 00:00:00","1399.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
