"station_id","obsTime","ELEV","RAIN","MIN_10","HOUR_3","HOUR_6","HOUR_12","HOUR_24","NOW"
"C0X190","2022-09-12 00:00:00","10.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0A560","2022-09-12 00:00:00","405.000","12.000","1.500","24.500","39.500","197.000","298.000","298.000"
"C1F9E1","2022-09-12 00:00:00","563.000","0.000","0.000","0.000","1.500","5.000","5.000","5.000"
"467480","2022-09-12 00:00:00","26.900","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0M730","2022-09-12 00:00:00","40.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0A650","2022-09-12 00:00:00","287.000","4.000","2.500","10.500","18.500","48.000","88.500","88.500"
"C0E860","2022-09-12 00:00:00","2616.000","0.500","0.000","1.000","16.500","26.000","30.500","30.500"
"O1T840","2022-09-12 00:00:00","18.000","0.000","0.000","1.000","1.000","1.000","3.000","3.000"
"CAD080","2022-09-12 00:00:00","182.000","0.000","0.000","0.000","33.500","126.500","134.500","134.500"
"01U070","2022-09-12 00:00:00","585.000","6.000","0.000","17.000","45.000","80.000","100.000","100.000"
"O1V550","2022-09-12 00:00:00","454.300","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01P660","2022-09-12 00:00:00","355.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0S750","2022-09-12 00:00:00","2280.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1V230","2022-09-12 00:00:00","731.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAL010","2022-09-12 00:00:00","46.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0E550","2022-09-12 00:00:00","84.000","0.000","0.000","0.000","14.500","70.500","70.500","70.500"
"01A220","2022-09-12 00:00:00","33.000","0.000","0.000","0.000","5.000","48.000","62.000","62.000"
"01H310","2022-09-12 00:00:00","2303.000","0.000","0.000","1.000","4.000","23.000","28.000","28.000"
"CAN080","2022-09-12 00:00:00","49.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1E770","2022-09-12 00:00:00","83.000","0.000","0.000","0.000","13.000","50.000","50.000","50.000"
"467440","2022-09-12 00:00:00","15.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X060","2022-09-12 00:00:00","19.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R510","2022-09-12 00:00:00","31.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81C740","2022-09-12 00:00:00","379.000","0.000","0.000","1.500","20.000","113.500","182.000","182.000"
"81M750","2022-09-12 00:00:00","1277.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1I131","2022-09-12 00:00:00","311.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"G2L020","2022-09-12 00:00:00","79.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01D190","2022-09-12 00:00:00","770.000","1.000","0.000","4.000","18.000","96.000","135.000","135.000"
"CAN090","2022-09-12 00:00:00","41.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAG060","2022-09-12 00:00:00","48.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"A1AD80","2022-09-12 00:00:00","278.000","0.500","0.000","0.500","5.000","45.500","77.500","77.500"
"C0F9N0","2022-09-12 00:00:00","75.000","0.000","0.000","0.000","1.500","1.500","1.500","1.500"
"81I560","2022-09-12 00:00:00","613.000","0.000","0.000","0.500","0.500","0.500","0.500","0.500"
"C0M680","2022-09-12 00:00:00","37.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"82C160","2022-09-12 00:00:00","195.000","1.000","0.500","1.000","37.500","63.500","70.000","70.000"
"466880","2022-09-12 00:00:00","11.000","2.000","0.000","2.000","3.000","19.500","27.000","27.000"
"C0UA80","2022-09-12 00:00:00","10.000","0.000","0.000","4.000","11.000","16.000","29.000","29.000"
"C0F9P0","2022-09-12 00:00:00","26.000","0.000","0.000","0.000","3.000","4.000","4.000","4.000"
"01V060","2022-09-12 00:00:00","850.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"A1AG30","2022-09-12 00:00:00","160.000","1.000","0.000","1.000","5.500","46.500","76.500","76.500"
"81I520","2022-09-12 00:00:00","527.000","0.000","0.000","0.000","1.500","1.500","1.500","1.500"
"81HA60","2022-09-12 00:00:00","120.000","0.000","0.000","0.500","1.000","1.000","1.000","1.000"
"C0O970","2022-09-12 00:00:00","71.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F0B0","2022-09-12 00:00:00","311.000","0.000","0.000","0.500","7.500","8.500","8.500","8.500"
"C0R700","2022-09-12 00:00:00","19.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1V220","2022-09-12 00:00:00","1781.000","-998.000","-998.000","-998.000","-998.000","0.500","0.500","0.500"
"C0R780","2022-09-12 00:00:00","72.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"A1AD70","2022-09-12 00:00:00","375.000","8.000","0.000","12.500","19.000","41.000","64.500","64.500"
"C1S820","2022-09-12 00:00:00","177.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0C660","2022-09-12 00:00:00","176.000","0.000","0.000","0.500","4.500","13.500","18.000","18.000"
"C0M740","2022-09-12 00:00:00","15.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0K460","2022-09-12 00:00:00","60.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X100","2022-09-12 00:00:00","10.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01Q920","2022-09-12 00:00:00","750.000","-998.000","-998.000","-998.000","-998.000","1.000","1.000","1.000"
"C1I510","2022-09-12 00:00:00","1208.000","0.500","0.500","0.500","1.000","1.000","1.000","1.000"
"C0S690","2022-09-12 00:00:00","522.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0A520","2022-09-12 00:00:00","48.000","1.000","0.000","1.000","4.000","26.000","36.000","36.000"
"81D650","2022-09-12 00:00:00","268.000","0.500","0.000","1.500","5.000","61.500","74.000","74.000"
"C0X130","2022-09-12 00:00:00","27.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0V400","2022-09-12 00:00:00","56.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1E890","2022-09-12 00:00:00","53.000","0.000","0.000","0.000","8.000","9.000","9.000","9.000"
"C0G720","2022-09-12 00:00:00","50.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01H210","2022-09-12 00:00:00","1590.000","0.000","0.000","1.000","4.000","24.000","30.000","30.000"
"C0T9A0","2022-09-12 00:00:00","498.000","1.000","0.000","1.000","1.000","1.000","3.000","3.000"
"C0AH40","2022-09-12 00:00:00","426.000","2.000","0.000","2.500","3.500","13.000","28.500","28.500"
"C1V170","2022-09-12 00:00:00","3690.000","0.000","0.000","0.500","0.500","2.000","2.000","2.000"
"C0FA30","2022-09-12 00:00:00","31.700","0.000","0.000","0.000","1.000","1.000","1.000","1.000"
"C0X280","2022-09-12 00:00:00","22.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81D670","2022-09-12 00:00:00","110.000","1.500","0.000","7.500","28.500","91.500","115.500","115.500"
"C1E461","2022-09-12 00:00:00","1325.000","0.000","0.000","0.000","4.000","8.500","10.500","10.500"
"C0V620","2022-09-12 00:00:00","18.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"88U940","2022-09-12 00:00:00","175.000","1.000","0.000","30.500","34.000","56.500","93.000","93.000"
"C0C720","2022-09-12 00:00:00","21.000","0.000","0.000","0.000","2.500","2.500","2.500","2.500"
"72S200","2022-09-12 00:00:00","240.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0H960","2022-09-12 00:00:00","120.000","0.000","0.000","0.000","1.000","1.000","1.000","1.000"
"C0M530","2022-09-12 00:00:00","1385.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0A640","2022-09-12 00:00:00","241.000","5.500","4.000","9.000","18.000","47.000","79.500","79.500"
"C0A930","2022-09-12 00:00:00","216.000","-998.000","-998.000","-998.000","-998.000","4.500","5.000","5.000"
"C0AC40","2022-09-12 00:00:00","1079.000","0.500","0.000","1.000","8.000","32.500","70.000","70.000"
"C0T9M0","2022-09-12 00:00:00","92.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01U460","2022-09-12 00:00:00","83.000","0.000","0.000","26.000","30.000","45.000","76.000","76.000"
"C0S960","2022-09-12 00:00:00","32.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01U470","2022-09-12 00:00:00","32.000","0.000","0.000","6.000","8.000","10.000","30.000","30.000"
"A1AC70","2022-09-12 00:00:00","118.000","0.500","0.000","2.000","4.000","16.500","29.500","29.500"
"CAA060","2022-09-12 00:00:00","50.000","1.000","0.000","1.000","3.000","43.500","50.000","50.000"
"C1O920","2022-09-12 00:00:00","115.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAD090","2022-09-12 00:00:00","101.000","0.000","0.000","0.000","1.500","15.500","17.000","17.000"
"C0U710","2022-09-12 00:00:00","1942.000","14.500","0.000","40.500","73.000","119.000","158.000","158.000"
"C0SA30","2022-09-12 00:00:00","93.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1I260","2022-09-12 00:00:00","601.000","0.000","0.000","0.000","1.500","4.500","5.000","5.000"
"A1AD20","2022-09-12 00:00:00","662.000","1.000","0.000","2.000","4.500","23.500","44.000","44.000"
"C0V350","2022-09-12 00:00:00","36.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1D410","2022-09-12 00:00:00","1290.000","0.000","0.000","0.500","9.000","22.500","28.000","28.000"
"467610","2022-09-12 00:00:00","33.300","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1I020","2022-09-12 00:00:00","1120.000","0.000","0.000","0.000","2.000","11.000","13.500","13.500"
"C0O810","2022-09-12 00:00:00","161.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R520","2022-09-12 00:00:00","18.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0G880","2022-09-12 00:00:00","92.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"21D170","2022-09-12 00:00:00","630.000","1.500","0.000","5.500","30.500","62.000","72.500","72.500"
"K2E710","2022-09-12 00:00:00","286.000","0.000","0.000","0.000","12.000","21.500","21.500","21.500"
"88T920","2022-09-12 00:00:00","128.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0S980","2022-09-12 00:00:00","903.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
