station_id,obsTime,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,station_name,county,town,lat,lon
C1S670,2022-09-14 00:00:00,1580.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,摩天,臺東縣,海端鄉,23.199503,121.027
C0C630,2022-09-14 00:00:00,209.0,-998.0,-998.0,-998.0,-998.0,0.5,32.0,32.0,大溪,桃園市,大溪區,24.882853,121.265547
81M700,2022-09-14 00:00:00,1044.0,-998.0,-998.0,-998.0,-998.0,3.0,8.0,8.0,,,,,
L1A840,2022-09-14 00:00:00,403.0,1.5,0.0,15.0,32.5,48.5,102.0,102.0,太平,新北市,雙溪區,24.971779,121.828198
A2N290,2022-09-14 00:00:00,23.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,臺南蘭花園區,臺南市,後壁區,23.340258,120.379661
81M660,2022-09-14 00:00:00,1186.0,-998.0,-998.0,-998.0,-998.0,0.0,4.0,4.0,阿里山國小,嘉義縣,阿里山鄉,23.469067,120.701672
C1Z130,2022-09-14 00:00:00,187.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,銅門,花蓮縣,秀林鄉,23.965694,121.492842
C0AD30,2022-09-14 00:00:00,20.0,4.5,1.0,11.5,13.0,14.5,31.0,31.0,蘆洲,新北市,蘆洲區,25.086594,121.472331
C0D430,2022-09-14 00:00:00,87.0,-998.0,-998.0,-998.0,-998.0,0.0,18.5,18.5,峨眉,新竹縣,峨眉鄉,24.6905,121.017189
C0R680,2022-09-14 00:00:00,4.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,佳樂水,屏東縣,滿州鄉,21.993578,120.861633
C0X210,2022-09-14 00:00:00,38.0,-998.0,-998.0,-998.0,-998.0,0.0,1.5,1.5,白河,臺南市,白河區,23.347467,120.414428
01A440,2022-09-14 00:00:00,916.0,1.0,0.0,1.0,3.0,17.0,66.0,66.0,大桶山,新北市,烏來區,24.876212,121.562992
CAQ030,2022-09-14 00:00:00,10.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,崎峰國小,屏東縣,林邊鄉,22.42565,120.49521
CAC040,2022-09-14 00:00:00,1684.0,0.0,0.0,0.0,1.0,12.0,12.0,12.0,拉拉山,桃園市,復興區,24.699317,121.427133
O1M640,2022-09-14 00:00:00,1052.0,-998.0,-998.0,-998.0,-998.0,2.0,10.0,10.0,豐山,嘉義縣,阿里山鄉,23.574615,120.746747
O1M650,2022-09-14 00:00:00,850.0,-998.0,-998.0,-998.0,-998.0,1.0,5.0,5.0,外來吉,嘉義縣,阿里山鄉,23.529649,120.739968
88V560,2022-09-14 00:00:00,403.0,-998.0,-998.0,-998.0,-998.0,0.0,0.5,0.5,集來,高雄市,杉林區,23.028691,120.592901
C0O960,2022-09-14 00:00:00,112.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,崎頂,臺南市,龍崎區,22.959547,120.369317
C1E511,2022-09-14 00:00:00,326.0,-998.0,-998.0,-998.0,-998.0,2.5,58.0,58.0,新開,苗栗縣,大湖鄉,24.347703,120.827019
C0H950,2022-09-14 00:00:00,192.0,-998.0,-998.0,-998.0,-998.0,0.5,8.0,8.0,,,,,
V2C250,2022-09-14 00:00:00,150.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,,,,,
C1M400,2022-09-14 00:00:00,369.0,-998.0,-998.0,-998.0,-998.0,1.0,1.0,1.0,菜瓜坪,嘉義縣,大埔鄉,23.25163,120.57636
01D110,2022-09-14 00:00:00,560.0,-998.0,-998.0,-998.0,-998.0,4.0,63.0,63.0,清泉,新竹縣,五峰鄉,24.573125,121.10352
C1I400,2022-09-14 00:00:00,1399.0,-998.0,-998.0,-998.0,-998.0,3.5,10.5,10.5,凌霄,南投縣,仁愛鄉,24.018778,121.004456
A1AC80,2022-09-14 00:00:00,111.0,4.5,0.0,19.5,34.0,40.0,73.5,73.5,明德樂園,臺北市,士林區,25.113693,121.565711
C0C690,2022-09-14 00:00:00,242.0,17.0,9.5,19.0,19.0,22.0,33.0,33.0,國一五楊N44K,桃園市,龜山區,25.063861,121.340164
C0I110,2022-09-14 00:00:00,161.0,-998.0,-998.0,-998.0,-998.0,0.0,12.0,12.0,竹山,南投縣,竹山鎮,23.761225,120.688156
C0V370,2022-09-14 00:00:00,74.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,古亭坑,高雄市,田寮區,22.893178,120.401947
C0M750,2022-09-14 00:00:00,10.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,布袋,嘉義縣,布袋鎮,23.380864,120.167778
01A380,2022-09-14 00:00:00,101.0,0.0,0.0,4.0,7.0,11.0,18.0,18.0,瑞芳(2),新北市,瑞芳區,25.110338,121.803301
