"station_id","obsTime","ELEV","RAIN","MIN_10","HOUR_3","HOUR_6","HOUR_12","HOUR_24","NOW"
"01A350","2022-09-13 00:00:00","0.000","-998.000","-998.000","-998.000","-998.000","8.000","14.000","14.000"
"C0C630","2022-09-13 00:00:00","209.000","1.500","0.500","12.000","16.500","24.000","55.000","55.000"
"81M700","2022-09-13 00:00:00","1044.000","0.000","0.000","0.500","4.000","22.500","25.000","25.000"
"L1A840","2022-09-13 00:00:00","403.000","1.000","0.000","2.500","12.500","48.000","68.500","68.500"
"A2N290","2022-09-13 00:00:00","23.000","-998.000","-998.000","-998.000","-998.000","0.000","2.500","2.500"
"81M660","2022-09-13 00:00:00","1186.000","0.000","0.000","0.500","3.000","7.000","7.000","7.000"
"C1Z130","2022-09-13 00:00:00","187.000","-998.000","-998.000","-998.000","-998.000","0.500","0.500","0.500"
"C0AD30","2022-09-13 00:00:00","20.000","1.000","0.500","1.000","2.000","20.500","36.000","36.000"
"C0D430","2022-09-13 00:00:00","87.000","0.000","0.000","0.000","0.500","18.000","69.500","69.500"
"C0R680","2022-09-13 00:00:00","4.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X210","2022-09-13 00:00:00","38.000","-998.000","-998.000","-998.000","-998.000","0.000","1.500","1.500"
"01A440","2022-09-13 00:00:00","916.000","0.000","0.000","4.000","34.000","117.000","164.000","164.000"
"CAQ030","2022-09-13 00:00:00","10.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAC040","2022-09-13 00:00:00","1684.000","0.000","0.000","23.000","53.500","131.000","192.000","192.000"
"O1M640","2022-09-13 00:00:00","1052.000","0.000","0.000","0.000","7.000","25.000","26.000","26.000"
"O1M650","2022-09-13 00:00:00","850.000","0.000","0.000","0.000","4.000","14.000","14.000","14.000"
"88V560","2022-09-13 00:00:00","403.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0O960","2022-09-13 00:00:00","112.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1E511","2022-09-13 00:00:00","326.000","0.500","0.000","0.500","4.000","17.000","22.000","22.000"
"C0H950","2022-09-13 00:00:00","192.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1M400","2022-09-13 00:00:00","369.000","-998.000","-998.000","-998.000","-998.000","2.000","2.000","2.000"
"CAC020","2022-09-13 00:00:00","109.000","0.500","0.500","2.500","2.500","5.500","42.500","42.500"
"01D110","2022-09-13 00:00:00","560.000","2.000","0.000","27.000","71.000","109.000","154.000","154.000"
"C1I400","2022-09-13 00:00:00","1399.000","-998.000","-998.000","-998.000","-998.000","7.000","7.000","7.000"
"A1AC80","2022-09-13 00:00:00","111.000","3.500","0.000","4.500","14.000","49.500","74.000","74.000"
"C0C690","2022-09-13 00:00:00","242.000","-998.000","-998.000","-998.000","-998.000","5.500","50.000","50.000"
"C0I110","2022-09-13 00:00:00","161.000","-998.000","-998.000","-998.000","-998.000","0.500","0.500","0.500"
"C0V370","2022-09-13 00:00:00","74.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0M750","2022-09-13 00:00:00","10.000","-998.000","-998.000","-998.000","-998.000","0.000","1.500","1.500"
"01A380","2022-09-13 00:00:00","101.000","0.000","0.000","0.000","1.000","21.000","23.000","23.000"
"C1H941","2022-09-13 00:00:00","630.000","-998.000","-998.000","-998.000","-998.000","1.500","2.000","2.000"
"467410","2022-09-13 00:00:00","40.800","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81S860","2022-09-13 00:00:00","188.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F9X0","2022-09-13 00:00:00","166.000","-998.000","-998.000","-998.000","-998.000","3.000","11.000","11.000"
