"station_id","obsTime","ELEV","RAIN","MIN_10","HOUR_3","HOUR_6","HOUR_12","HOUR_24","NOW"
"01Q920","2022-10-30 00:00:00","750.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1I510","2022-10-30 00:00:00","1208.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0S690","2022-10-30 00:00:00","522.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0A520","2022-10-30 00:00:00","48.000","-998.000","-998.000","-998.000","-998.000","0.500","0.500","0.500"
"81D650","2022-10-30 00:00:00","268.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X130","2022-10-30 00:00:00","27.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0V400","2022-10-30 00:00:00","56.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1E890","2022-10-30 00:00:00","53.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0G720","2022-10-30 00:00:00","50.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01H210","2022-10-30 00:00:00","1590.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0T9A0","2022-10-30 00:00:00","498.000","1.500","0.000","3.500","11.500","15.500","46.000","46.000"
"C0AH40","2022-10-30 00:00:00","426.000","2.000","0.500","3.500","3.500","5.000","5.500","5.500"
"C1V170","2022-10-30 00:00:00","3690.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0FA30","2022-10-30 00:00:00","31.700","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X280","2022-10-30 00:00:00","22.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81D670","2022-10-30 00:00:00","110.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1E461","2022-10-30 00:00:00","1325.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0V620","2022-10-30 00:00:00","18.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0C720","2022-10-30 00:00:00","21.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0K460","2022-10-30 00:00:00","60.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0M740","2022-10-30 00:00:00","15.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0C660","2022-10-30 00:00:00","176.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1S820","2022-10-30 00:00:00","177.000","0.000","0.000","0.500","0.500","0.500","0.500","0.500"
"A1AD70","2022-10-30 00:00:00","375.000","0.000","0.000","0.000","0.500","11.000","17.000","17.000"
"O1R620","2022-10-30 00:00:00","9.600","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R780","2022-10-30 00:00:00","72.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
