district,total_shelters,high_risk_shelters,medium_risk_shelters,low_risk_shelters,safe_shelters,total_capacity,high_risk_capacity,medium_risk_capacity,low_risk_capacity,safe_capacity,risk_capacity,high_risk_shelter_ratio,medium_risk_shelter_ratio,low_risk_shelter_ratio,safe_shelter_ratio,estimated_risk_population,required_safe_capacity,capacity_gap,capacity_sufficiency
臺東市,19,4,11,3,1,805,153,437,188,27,778,0.21052631578947367,0.5789473684210527,0.15789473684210525,0.05263157894736842,1556,466.79999999999995,439.79999999999995,Insufficient
臺西鄉,12,2,2,2,6,4780,700,250,450,3380,1400,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.5,2800,840.0,-2540.0,Sufficient
芎林鄉,12,5,6,1,0,490,240,230,20,0,490,0.41666666666666674,0.5,0.08333333333333331,0.0,980,294.0,294.0,Insufficient
芬園鄉,4,4,0,0,0,800,800,0,0,0,800,1.0,0.0,0.0,0.0,1600,480.0,480.0,Insufficient
花壇鄉,18,12,4,2,0,1465,895,430,140,0,1465,0.6666666666666665,0.2222222222222222,0.1111111111111111,0.0,2930,879.0,879.0,Insufficient
花蓮市,28,11,15,2,0,6619,2371,3867,381,0,6619,0.39285714285714285,0.5357142857142857,0.07142857142857142,0.0,13238,3971.3999999999996,3971.3999999999996,Insufficient
芳苑鄉,6,2,0,1,3,1350,550,0,150,650,700,0.33333333333333326,0.0,0.16666666666666663,0.5,1400,420.0,-230.0,Sufficient
苓雅區,14,2,1,9,2,16315,2193,855,8209,5058,11257,0.14285714285714285,0.07142857142857142,0.6428571428571429,0.14285714285714285,22514,6754.2,1696.1999999999998,Insufficient
苗栗市,25,4,4,17,0,2865,455,355,2055,0,2865,0.16,0.16,0.68,0.0,5730,1719.0,1719.0,Insufficient
茂林區,6,4,2,0,0,920,570,350,0,0,920,0.6666666666666665,0.33333333333333326,0.0,0.0,1840,552.0,552.0,Insufficient
茄萣區,7,1,3,1,2,3795,589,1205,1144,857,2938,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857,5876,1762.8,905.8,Insufficient
草屯鎮,52,21,24,7,0,5100,1710,2700,690,0,5100,0.40384615384615385,0.4615384615384615,0.1346153846153846,0.0,10200,3060.0,3060.0,Insufficient
莒光鄉,5,0,0,0,5,550,0,0,0,550,0,0.0,0.0,0.0,1.0,0,0.0,-550.0,Sufficient
莿桐鄉,8,2,4,2,0,1089,170,556,363,0,1089,0.25,0.5,0.25,0.0,2178,653.4,653.4,Insufficient
萬丹鄉,11,0,2,7,2,1730,0,460,1130,140,1590,0.0,0.18181818181818182,0.6363636363636364,0.18181818181818182,3180,954.0,814.0,Insufficient
萬巒鄉,10,4,4,2,0,1500,490,650,360,0,1500,0.4,0.4,0.2,0.0,3000,900.0,900.0,Insufficient
萬榮鄉,7,0,4,2,1,530,0,280,150,100,430,0.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,860,258.0,158.0,Insufficient
萬華區,19,7,12,0,0,35849,34352,1497,0,0,35849,0.3684210526315789,0.631578947368421,0.0,0.0,71698,21509.399999999998,21509.399999999998,Insufficient
萬里區,17,15,1,1,0,5789,5414,200,175,0,5789,0.8823529411764706,0.0588235294117647,0.0588235294117647,0.0,11578,3473.4,3473.4,Insufficient
蘆洲區,20,1,8,11,0,15162,58,2208,12896,0,15162,0.05,0.4,0.55,0.0,30324,9097.199999999999,9097.199999999999,Insufficient
蘆竹區,20,17,2,1,0,3030,2630,400,0,0,3030,0.85,0.1,0.05,0.0,6060,1818.0,1818.0,Insufficient
蘇澳鎮,38,24,7,7,0,2547,1517,557,473,0,2547,0.631578947368421,0.18421052631578946,0.18421052631578946,0.0,5094,1528.2,1528.2,Insufficient
蘭嶼鄉,4,2,0,1,1,1200,600,0,500,100,1100,0.5,0.0,0.25,0.25,2200,660.0,560.0,Insufficient
虎尾鎮,35,8,8,14,5,11975,1730,1000,8612,633,11342,0.22857142857142856,0.22857142857142856,0.4,0.14285714285714285,22684,6805.2,6172.2,Insufficient
褒忠鄉,8,0,2,3,3,1600,0,450,650,500,1100,0.0,0.25,0.375,0.375,2200,660.0,160.0,Insufficient
西區,28,6,4,10,8,11110,1257,528,4114,5211,5899,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.2857142857142857,11798,3539.4,-1671.6,Sufficient
西屯區,23,6,9,8,0,20739,4957,8683,7099,0,20739,0.2608695652173913,0.391304347826087,0.34782608695652173,0.0,41478,12443.4,12443.4,Insufficient
西嶼鄉,9,0,0,0,9,875,0,0,0,875,0,0.0,0.0,0.0,1.0,0,0.0,-875.0,Sufficient
西港區,12,1,3,7,1,3800,850,560,2140,250,3550,0.08333333333333331,0.25,0.5833333333333334,0.08333333333333331,7100,2130.0,1880.0,Insufficient
西湖鄉,5,5,0,0,0,700,700,0,0,0,700,1.0,0.0,0.0,0.0,1400,420.0,420.0,Insufficient
西螺鎮,36,4,6,13,13,6940,270,1350,3470,1850,5090,0.1111111111111111,0.16666666666666663,0.36111111111111105,0.36111111111111105,10180,3054.0,1204.0,Insufficient
觀音區,11,9,2,0,0,600,500,100,0,0,600,0.8181818181818182,0.18181818181818182,0.0,0.0,1200,360.0,360.0,Insufficient
豐原區,35,6,13,13,3,8605,1450,2350,4090,715,7890,0.17142857142857143,0.37142857142857144,0.37142857142857144,0.08571428571428572,15780,4734.0,4019.0,Insufficient
豐濱鄉,7,4,2,0,1,200,0,200,0,0,200,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,400,120.0,120.0,Insufficient
貢寮區,17,14,1,2,0,3857,3655,62,140,0,3857,0.8235294117647058,0.0588235294117647,0.1176470588235294,0.0,7714,2314.2,2314.2,Insufficient
路竹區,11,0,0,6,5,9024,0,0,3635,5389,3635,0.0,0.0,0.5454545454545454,0.45454545454545453,7270,2181.0,-3208.0,Sufficient
