district,total_shelters,high_risk_shelters,medium_risk_shelters,low_risk_shelters,safe_shelters,total_capacity,high_risk_capacity,medium_risk_capacity,low_risk_capacity,safe_capacity,risk_capacity,high_risk_shelter_ratio,medium_risk_shelter_ratio,low_risk_shelter_ratio,safe_shelter_ratio,estimated_risk_population,required_safe_capacity,capacity_gap,capacity_sufficiency
車城鄉,6,5,1,0,0,889,789,100,0,0,889,0.8333333333333335,0.16666666666666663,0.0,0.0,1778,533.4,533.4,Insufficient
通霄鎮,6,5,0,1,0,810,610,0,200,0,810,0.8333333333333335,0.0,0.16666666666666663,0.0,1620,486.0,486.0,Insufficient
造橋鄉,4,2,2,0,0,810,210,600,0,0,810,0.5,0.5,0.0,0.0,1620,486.0,486.0,Insufficient
達仁鄉,16,10,1,5,0,1867,1060,200,607,0,1867,0.625,0.0625,0.3125,0.0,3734,1120.2,1120.2,Insufficient
那瑪夏區,3,2,1,0,0,780,480,300,0,0,780,0.6666666666666665,0.33333333333333326,0.0,0.0,1560,468.0,468.0,Insufficient
里港鄉,7,2,3,2,0,5420,600,2700,2120,0,5420,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,10840,3252.0,3252.0,Insufficient
金山區,14,13,1,0,0,28272,28199,73,0,0,28272,0.9285714285714286,0.07142857142857142,0.0,0.0,56544,16963.2,16963.2,Insufficient
金峰鄉,6,4,2,0,0,530,400,130,0,0,530,0.6666666666666665,0.33333333333333326,0.0,0.0,1060,318.0,318.0,Insufficient
銅鑼鄉,15,10,5,0,0,570,360,210,0,0,570,0.6666666666666665,0.33333333333333326,0.0,0.0,1140,342.0,342.0,Insufficient
長治鄉,6,0,0,1,5,1200,0,0,200,1000,200,0.0,0.0,0.16666666666666663,0.8333333333333335,400,120.0,-880.0,Sufficient
長濱鄉,19,13,2,4,0,2020,1430,170,420,0,2020,0.6842105263157895,0.10526315789473684,0.21052631578947367,0.0,4040,1212.0,1212.0,Insufficient
關山鎮,10,4,6,0,0,1290,400,890,0,0,1290,0.4,0.6,0.0,0.0,2580,774.0,774.0,Insufficient
關廟區,11,5,6,0,0,3280,1195,2085,0,0,3280,0.45454545454545453,0.5454545454545454,0.0,0.0,6560,1968.0,1968.0,Insufficient
關西鎮,11,9,1,1,0,5600,5270,110,220,0,5600,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.0,11200,3360.0,3360.0,Insufficient
阿蓮區,5,0,4,0,1,1000,0,980,0,20,980,0.0,0.8,0.0,0.2,1960,588.0,568.0,Insufficient
阿里山鄉,14,5,2,0,7,960,270,190,0,500,460,0.35714285714285715,0.14285714285714285,0.0,0.5,920,276.0,-224.0,Sufficient
集集鎮,3,3,0,0,0,370,370,0,0,0,370,1.0,0.0,0.0,0.0,740,222.0,222.0,Insufficient
雙溪區,12,12,0,0,0,4813,4813,0,0,0,4813,1.0,0.0,0.0,0.0,9626,2887.7999999999997,2887.7999999999997,Insufficient
霧峰區,15,11,3,1,0,10686,8006,850,1830,0,10686,0.7333333333333333,0.2,0.06666666666666667,0.0,21372,6411.599999999999,6411.599999999999,Insufficient
霧臺鄉,6,2,1,3,0,730,280,40,410,0,730,0.33333333333333326,0.16666666666666663,0.5,0.0,1460,438.0,438.0,Insufficient
頭份市,30,16,11,3,0,4240,2275,1475,490,0,4240,0.5333333333333333,0.36666666666666664,0.1,0.0,8480,2544.0,2544.0,Insufficient
頭城鎮,23,20,2,1,0,2128,1942,142,44,0,2128,0.8695652173913043,0.08695652173913043,0.043478260869565216,0.0,4256,1276.8,1276.8,Insufficient
頭屋鄉,5,5,0,0,0,500,500,0,0,0,500,1.0,0.0,0.0,0.0,1000,300.0,300.0,Insufficient
香山區,17,14,1,2,0,38780,29325,1625,7830,0,38780,0.8235294117647058,0.0588235294117647,0.1176470588235294,0.0,77560,23268.0,23268.0,Insufficient
馬公市,12,0,0,0,12,3140,0,0,0,3140,0,0.0,0.0,0.0,1.0,0,0.0,-3140.0,Sufficient
高樹鄉,4,1,0,3,0,150,0,0,150,0,150,0.25,0.0,0.75,0.0,300,90.0,90.0,Insufficient
魚池鄉,24,15,5,4,0,2060,980,525,555,0,2060,0.625,0.20833333333333337,0.16666666666666663,0.0,4120,1236.0,1236.0,Insufficient
鳥松區,9,3,2,4,0,2990,1914,210,866,0,2990,0.33333333333333326,0.2222222222222222,0.4444444444444444,0.0,5980,1794.0,1794.0,Insufficient
鳳山區,36,13,12,11,0,38546,11856,12416,14274,0,38546,0.36111111111111105,0.33333333333333326,0.3055555555555556,0.0,77092,23127.6,23127.6,Insufficient
鳳林鎮,17,2,8,7,0,1850,80,1040,730,0,1850,0.1176470588235294,0.4705882352941176,0.4117647058823529,0.0,3700,1110.0,1110.0,Insufficient
鶯歌區,15,8,6,1,0,9973,5038,3651,1284,0,9973,0.5333333333333333,0.4,0.06666666666666667,0.0,19946,5983.8,5983.8,Insufficient
鹽埔鄉,4,2,0,2,0,1530,680,0,850,0,1530,0.5,0.0,0.5,0.0,3060,918.0,918.0,Insufficient
鹽埕區,5,5,0,0,0,1213,1213,0,0,0,1213,1.0,0.0,0.0,0.0,2426,727.8,727.8,Insufficient
鹽水區,12,5,3,2,2,3000,1640,960,130,270,2730,0.41666666666666674,0.25,0.16666666666666663,0.16666666666666663,5460,1638.0,1368.0,Insufficient
鹿港鎮,25,4,0,5,16,3407,491,0,477,2439,968,0.16,0.0,0.2,0.64,1936,580.8,-1858.2,Sufficient
鹿草鄉,10,0,7,0,3,3220,0,1240,0,1980,1240,0.0,0.7,0.0,0.3,2480,744.0,-1236.0,Sufficient
鹿谷鄉,16,13,2,1,0,3360,2710,450,200,0,3360,0.8125,0.125,0.0625,0.0,6720,2016.0,2016.0,Insufficient
鹿野鄉,17,7,5,5,0,690,370,130,190,0,690,0.4117647058823529,0.29411764705882354,0.29411764705882354,0.0,1380,414.0,414.0,Insufficient
麟洛鄉,4,0,0,0,4,380,0,0,0,380,0,0.0,0.0,0.0,1.0,0,0.0,-380.0,Sufficient
麥寮鄉,17,1,3,4,9,2087,50,1045,180,812,1275,0.0588235294117647,0.17647058823529413,0.2352941176470588,0.5294117647058824,2550,765.0,-47.0,Sufficient
麻豆區,9,0,4,3,2,5900,0,1950,3600,350,5550,0.0,0.4444444444444444,0.33333333333333326,0.2222222222222222,11100,3330.0,2980.0,Insufficient
鼓山區,13,7,6,0,0,10325,5159,5166,0,0,10325,0.5384615384615384,0.4615384615384615,0.0,0.0,20650,6195.0,6195.0,Insufficient
龍井區,18,10,1,5,2,1785,750,100,800,135,1650,0.5555555555555556,0.05555555555555555,0.2777777777777778,0.1111111111111111,3300,990.0,855.0,Insufficient
龍崎區,6,2,3,1,0,490,70,390,30,0,490,0.33333333333333326,0.5,0.16666666666666663,0.0,980,294.0,294.0,Insufficient
龍潭區,39,19,16,4,0,17585,6445,9590,1550,0,17585,0.48717948717948717,0.41025641025641024,0.10256410256410256,0.0,35170,10551.0,10551.0,Insufficient
龜山區,29,21,8,0,0,5769,3924,1845,0,0,5769,0.7241379310344827,0.27586206896551724,0.0,0.0,11538,3461.4,3461.4,Insufficient
