shelter_name,shelter_address,capacity,risk_level,buffer_distance,longitude,latitude
高雄市立新興高級中學,五福二路218號,1091,Low,2000,178454.32458728168,2502859.988150941
鹽埕區公所11樓大禮堂,大仁路6號8樓,50,High,500,176686.38995785385,2502912.64674428
高雄市鳳山區鳳山國民小學,中山路231號,873,Medium,1000,183852.178294273,2502882.555157778
鳳山區公所大禮堂,經武路30號,200,Medium,1000,184129.1928767004,2502923.107737543
高雄市立鳳山國民中學,中山東路227號,2327,Medium,1000,185445.9669045715,2502926.911100219
高雄市立高雄高級高商職業學校,五福二路3號,1036,Low,2000,179020.3868071603,2503001.309827721
高雄市前金區前金國民小學,大同二路61號,1564,High,500,177419.33879218966,2503080.9061589325
高雄市立中正高級中學,中正一路8號,3294,Safe,0,182031.8267158399,2503075.234849078
高雄市新興區新興國民小學,民生一路321號,1182,Low,2000,178591.0555158456,2503147.595376077
萬安活動中心,1鄰3號,100,High,500,212830.42304316696,2503070.1257219766
前金區公所5樓大禮堂,自強二路169號三、四樓,25,Medium,1000,177458.85177737154,2503219.028375265
高雄市新興區大同國民小學,大同一路231號,964,Medium,1000,177890.80713667316,2503261.281874667
高雄市鳳山區中正國民小學,勝利路2號,0,Medium,1000,185660.2398592861,2503254.225810422
溪寮里社區活動中心,溪寮路54之1號,60,Low,2000,190431.4260931169,2503251.413885813
基督教鳳山長老教會,中正路172號,150,High,500,184315.7491394602,2503276.6571296533
高雄市立前金國民中學,六合二路278號,1218,High,500,177069.17327751766,2503420.205377347
國立鳳山高級中學,光復路二段130號,200,Low,2000,182746.07046713083,2503448.800832092
排灣社區活動中心,5鄰58號,148,Medium,1000,211597.62948459166,2503361.0671451055
高雄市苓雅區中正國民小學,輔仁路100號,1855,Low,2000,181470.12065979093,2503485.909469579
高雄市鳳山區瑞興國民小學,博愛路271號,1309,High,500,185072.4385295902,2503470.5362282125
鳳山街友服務中心,博愛路477巷18號,32,High,500,184707.268584702,2503485.377839465
高雄市大寮區溪寮國民小學,溪寮路69號,100,Low,2000,190426.68867743402,2503486.85170529
高雄市鳳山區中山國民小學,光復路一段120巷8號,1759,Low,2000,183176.40927925654,2503527.088055442
高雄市立青年國民中學,青年路二段89號,376,Low,2000,183083.35944043886,2503546.0980822695
泰安國小,壽比路116號,120,High,500,208298.27202562644,2503458.285337308
北里活動中心,三鄰北太麻里二0-四號,30,Medium,1000,249938.32684721117,2503456.837779681
高雄市新興區信義國民小學,中正三路32號,1091,Medium,1000,179177.60683445365,2503653.923034613
高雄市鼓山區壽山國民小學,鼓山二路37巷24號,345,Medium,1000,175992.4171674606,2503686.380015976
高雄市前金區建國國民小學,自立二路111號,516,High,500,177831.42667887016,2503748.8008005433
高雄市立壽山國民中學,鼓山二路37巷108號,745,Medium,1000,175831.087329194,2503826.13552536
高雄市三民區河濱國民小學,市中一路339號,745,High,500,176794.0617241297,2503930.9062410183
高雄市新興區七賢國民小學,七賢一路393號,1091,High,500,178767.66922458,2503921.5919007286
高雄市鳳山區文華國民小學,文化路52號,3170,Low,2000,183470.16469890784,2503944.718551664
高雄市大寮區中庄國民小學,中庄路59號,100,Safe,0,188070.28964197426,2503960.5126424483
"千歲,千北,立德,鳳南聯合里活動中心",三民街222號,200,High,500,177082.61859125964,2504084.5594700743
三塊厝聯合里活動中心,三民街39-1號,500,High,500,177617.49889471655,2504159.535292221
高雄市苓雅區凱旋國民小學,憲政路235號,1273,High,500,180098.50293899275,2504182.881531255
高雄市立中庄國民中學,光明路三段1437號,800,Safe,0,188517.87390797882,2504146.8447063994
高雄市三民區三民國民小學,建國三路216號,818,High,500,177134.69968534657,2504228.2686875127
鼓山區行政中心七樓大禮堂,鼓山二路166號,20,High,500,176096.571883103,2504244.321459262
江山里社區活動中心,江山路51號,30,Low,2000,189498.41473548714,2504282.903562127
高雄市大寮區後庄國民小學,民揚路28號,360,Low,2000,187249.9954234172,2504307.6841761796
屏東市公館國小,公華街182號,630,Low,2000,196778.09756125516,2504280.209877873
高雄市立高雄高級中學,建國三路50號,2794,High,500,177844.7346723954,2504391.0081347544
高雄市三民區光武國民小學,光武路35號,1564,Low,2000,181576.25962781784,2504440.30568594
北辰宮,北辰街1號,100,Medium,1000,184814.30797728582,2504481.533695067
高雄市鼓山區鼓岩國民小學,河邊街155號,364,High,500,176303.91258593457,2504608.752235874
高雄市立民族國民中學,覺民路363號,1673,Low,2000,181461.9859713994,2504630.285579511
"德北,十全,十美聯合里活動中心",德北街170號,200,Medium,1000,177547.90536851587,2504658.178169215
高雄市鳳山區文德國民小學,文衡路356號,250,Low,2000,183594.37975118426,2504641.034200409
寶安里活動中心,覺明路585號,50,Low,2000,181022.15326176985,2504653.1915130317
後庄老人活動中心,成功路188號,150,Low,2000,187323.06650925273,2504630.839334655
麟洛鄉公所,中山路158號,50,Safe,0,202309.07354615344,2504605.237419924
國立屏東科技大學孟祥體育館,學府路1號,500,Medium,1000,208484.76379547495,2504608.8997944263
屏東縣立公正國中,公興路11號,2413,Low,2000,196984.93715146437,2504644.908804656
義和代天府,義和路166號,30,Medium,1000,190482.26576587322,2504693.520569099
高雄市鳳山區鎮北國民小學,鳳北路170號,1767,Medium,1000,185047.3605284801,2504851.725225351
新興國小 Xingxing Elementary School,"1鄰1號No.1,Xingxing,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",100,High,500,250293.64217442775,2504750.1422902625
"德智,德仁里活動中心",自由一路52號,200,Medium,1000,178957.3225989259,2504917.334343509
寶珠溝里活動中心,壽昌路2號,500,Low,2000,181537.2755041943,2504916.642600218
高雄市立陽明國民中學,義華路166號,2130,Low,2000,182207.857011837,2504916.867132906
高雄市三民區民族國民小學,平等路197號,1582,High,500,180129.32562140177,2504967.3036501985
高雄市避難收容暨備災訓練中心,鳳松路442號,400,Low,2000,184713.553086083,2504958.1229424537
中都地區聯合里活動中心,同盟三路442號,500,High,500,176306.0999275993,2505062.7620748677
高雄市立正興國民中學,覺民路850號,1455,High,500,180076.77523874704,2505073.9609321207
高雄市三民區愛國國民小學,十全一路1號,709,High,500,179461.735842829,2505081.1038094168
高雄市三民區博愛國民小學,十全一路202號,982,Medium,1000,178742.66025644605,2505173.02599207
高雄市三民區陽明國民小學,義德路52號,1527,Low,2000,181713.29496383178,2505203.7679973026
高雄市三民區正興國民小學,大豐二路20號,1818,Medium,1000,180737.15887001692,2505274.5990431258
高雄市立三民國民中學,十全一路200號,964,High,500,178741.13642997993,2505309.2385727162
高雄市三民區十全國民小學,十全二路162號,1509,Medium,1000,177921.1223860841,2505331.906642567
"安東,安和,達明聯合里活動中心",松江街250號（三民公園內）,100,Medium,1000,178465.86987312173,2505329.3488306026
高雄市三民區公所,哈爾濱街215號9樓,100,High,500,178034.65221496546,2505431.034681444
麟洛國中,中山路2號,150,Safe,0,200944.5347114065,2505384.675325902
高雄市立文山高級中學,大埤路31號,1020,High,500,183480.91684675243,2505471.708164675
寶盛里活動中心,大順陸橋下,100,Medium,1000,180758.7181262938,2505495.9728723066
高雄市三民區東光國民小學,黃興路206號,2036,Low,2000,182136.32585017447,2505567.31191199
安宜里活動中心,自立一路535號,300,High,500,177717.17983493264,2505676.1521665817
屏東市前進國小,建國路405巷100弄39號,439,High,500,194326.45104705746,2505650.950088835
高雄市立高雄高級工業職業學校,建工路419號,1309,High,500,180775.50889603098,2505753.9111597594
麟洛鄉圖書館,中山路158號,30,Safe,0,201407.98879117746,2505682.171648261
麟洛國小,中華路86號,150,Safe,0,201407.98879117746,2505682.171648261
老人文康活動中心,仁德路１１號,150,Low,2000,187851.83117022956,2505775.5562666333
高雄市立鼓山高級中學,明德路2號,1222,Medium,1000,175455.8587055043,2505866.9569002986
高雄市鼓山區九如國民小學,九如四路763號,836,Medium,1000,175869.52292044647,2505945.008439592
佳義基督長老教會教育館,泰平巷76號,100,High,500,212087.22486874717,2505973.0808448386
高雄市鳥松區大華國民小學,大華路200號,160,Medium,1000,182220.9762346336,2506091.04740723
高雄市鼓山區龍華國民小學,大順一路858號,1400,High,500,177822.6786060086,2506251.4834264666
本和里活動中心,大和街190號,300,High,500,180741.77364830312,2506293.3473341474
高雄市立鼎金國民中學,鼎山街445號,1273,High,500,180166.7908851629,2506306.261681705
本館里集會所,昌裕街55號,50,High,500,181296.86129726464,2506312.9896096564
高雄市大樹區九曲國民小學,九曲路498號,2075,High,500,190736.08139657206,2506294.0764780752
高雄市立鼎金國民中學,鼎山街375號,1345,High,500,180320.69635208434,2506361.702484704
台灣基督教長老教會仁美教會短期收,介壽路14號,96,Low,2000,187648.57863838458,2506341.129019968
