band,label,importance
B12,SWIR2,0.19252953643142134
B02,Blue,0.173548465499384
B08,NIR,0.1717048711198475
B11,SWIR1,0.1650133225140265
B04,Red,0.16081749389756603
B03,Green,0.13638631053775468
