area,date,mean_NDVI,min_NDVI,max_NDVI,spread_max_minus_min
Taroko Focus AOI,2020-01-15,0.4568563173722151,-0.5335463285446167,0.9985315799713135,1.5320779085159302
Taroko Focus AOI,2020-02-15,0.4575286751208811,-0.5849556922912598,0.994535505771637,1.5794911980628967
Taroko Focus AOI,2020-03-15,0.4286508792070146,-0.46979865431785583,0.9162790775299072,1.386077731847763
Taroko Focus AOI,2020-04-15,0.4814309153527572,-0.2080419510602951,0.9368420839309692,1.1448840349912643
Taroko Focus AOI,2020-05-15,0.4339260447363161,-0.4079422354698181,0.9635416865348816,1.3714839220046997
Taroko Focus AOI,2020-06-15,0.5441017152577264,-0.5507246255874634,0.9532710313796997,1.503995656967163
Taroko Focus AOI,2020-07-15,0.5290401621847672,-0.3729160726070404,0.9402375817298889,1.3131536543369293
Taroko Focus AOI,2020-08-15,0.5077070448254323,-0.8151260614395142,0.9602977633476257,1.77542382478714
Taroko Focus AOI,2020-09-15,0.49120415274289364,-0.4066554009914398,0.9576399326324463,1.364295333623886
Taroko Focus AOI,2020-10-15,0.4790600857625623,-0.6128175854682922,0.9826589822769165,1.5954765677452087
Taroko Focus AOI,2020-11-15,0.49713530580563703,-0.5212569236755371,0.9984423518180847,1.5196992754936218
Taroko Focus AOI,2020-12-15,0.3445296770521824,-0.7816901206970215,0.9984603524208069,1.7801504731178284
Taroko Focus AOI,2021-01-15,0.4926697446099057,-0.6039387583732605,1.0,1.6039387583732605
Taroko Focus AOI,2021-02-15,0.4265985008464799,-0.5627228021621704,0.9916434288024902,1.5543662309646606
Taroko Focus AOI,2021-03-15,0.4794508011267596,-0.44180789589881897,0.9689579010009766,1.4107657968997955
Taroko Focus AOI,2021-04-15,0.47466789419960487,-0.49399399757385254,0.9933035969734192,1.4872975945472717
Taroko Focus AOI,2021-05-15,0.5184958024158258,-0.27515584230422974,0.9968847632408142,1.272040605545044
Taroko Focus AOI,2021-06-15,,,,
Taroko Focus AOI,2021-07-15,0.5303395457720678,-0.43749234080314636,0.9662576913833618,1.4037500321865082
Taroko Focus AOI,2021-08-15,0.4846462527526295,-0.9710144996643066,0.9980750679969788,1.9690895676612854
Taroko Focus AOI,2021-09-15,0.46403737913176885,-0.9444015622138977,0.9694376587867737,1.9138392210006714
Taroko Focus AOI,2021-10-15,0.348386763801379,-0.551054835319519,0.9718309640884399,1.522885799407959
Taroko Focus AOI,2021-11-15,0.42836702608774785,-0.931034505367279,0.9974110126495361,1.9284455180168152
Taroko Focus AOI,2021-12-15,0.46211863657219693,-0.6486532092094421,0.998971164226532,1.6476243734359741
Taroko Focus AOI,2022-01-15,,,,
Taroko Focus AOI,2022-02-15,,,,
Taroko Focus AOI,2022-03-15,0.47768041519086957,-0.7991071343421936,1.0,1.7991071343421936
Taroko Focus AOI,2022-04-15,0.47982524119382003,-0.4444229006767273,0.9641062617301941,1.4085291624069214
Taroko Focus AOI,2022-05-15,0.6316797235884981,-0.7008547186851501,1.0,1.7008547186851501
Taroko Focus AOI,2022-06-15,0.5322610134983236,-0.22593969106674194,0.9958115220069885,1.2217512130737305
Taroko Focus AOI,2022-07-15,0.5548620583893648,-0.22203947603702545,0.95769864320755,1.1797381192445755
Taroko Focus AOI,2022-08-15,0.530368186603049,-0.5808053016662598,1.0,1.5808053016662598
Taroko Focus AOI,2022-09-15,0.5177101252885868,-1.0,1.0,2.0
