date,mean_vv
2022-01-03,-10.087722994720243
2022-02-08,-10.255667116977708
2022-07-26,-11.38517082739834
2022-08-07,-10.010176354908635
2022-08-19,-10.871784121228963
2022-08-31,-9.161620701743033
2022-09-12,-9.807170755645162
2022-09-24,-9.36893162627005
2022-10-06,-10.272763469973821
2022-10-18,-8.603881182863894
2022-10-30,-8.01733070402272
2022-11-11,-11.131088998313441
2022-11-23,-9.845813581101341
2022-12-05,-8.931302106268594
2022-12-17,-8.339945756237997
2022-12-29,-8.964352673513831
2023-01-10,-11.044535256379714
2023-01-22,-9.78642174286866
2023-02-03,-10.132622019494104
2023-02-15,-9.87963217641448
2023-02-27,-10.222374332559637
2023-03-11,-10.726415998293662
2023-03-23,-10.695777922999847
2023-04-04,-9.808263287274581
2023-04-16,-10.354364729291678
2023-04-28,-10.52998432530565
2023-05-10,-10.925317936275615
2023-05-22,-8.294435795812843
2023-06-03,-9.70780560804173
2023-06-15,-9.904429005124458
2023-06-27,-8.771775650360356
2023-07-09,-10.286527466752771
2023-07-21,-10.502123522051889
2023-08-02,-10.302224162087922
2023-08-14,-10.926115898751648
2023-08-26,-10.668203952883243
2023-09-07,-11.532512369992688
2023-09-19,-10.280378925337615
2023-10-01,-9.299939121578426
2023-10-13,-10.06491232859163
2023-10-25,-10.516637784728617
2023-11-06,-8.660817628364732
2023-11-18,-9.96960012954878
2023-11-30,-9.105104421013525
2023-12-12,-9.62252850739018
2023-12-24,-8.876041365513137
2024-01-05,-10.482388692192153
2024-01-17,-10.260812003064192
2024-01-29,-10.071431989228268
2024-02-10,-9.977038920330976
2024-02-22,-8.830349551749196
2024-03-05,-10.341794818200656
2024-03-17,-9.319010994993697
2024-03-29,-11.383978018292195
2024-04-10,-10.618157716999299
2024-04-22,-10.485226905473745
2024-05-04,-10.319163336266282
2024-05-16,-10.415171733175338
2024-05-28,-9.565151095592755
2024-06-09,-9.986699745927366
2024-06-21,-9.572926623402719
2024-07-03,-10.481011325044657
2024-07-15,-9.965406611831066
2024-07-27,-9.995671962933015
2024-08-08,-11.261990534889247
2024-08-20,-10.124724100271015
2024-09-01,-10.90937540612058
2024-09-13,-9.760521550793769
2024-09-25,-11.381908110451679
2024-10-07,-9.872987620710054
2024-10-19,-9.101536000408679
2024-10-19,-9.101585818784844
2024-10-31,-8.260414585478106
2024-11-12,-9.59265417474825
2024-11-24,-9.37024553584422
2024-12-06,-9.18660150983223
2024-12-18,-9.087408577325165
2024-12-30,-9.484453752703647
2025-01-11,-9.304309190122092
2025-01-23,-10.022794731951642
2025-02-04,-10.186087308582225
2025-02-16,-9.176049565399891
2025-02-28,-9.95298258293726
2025-03-12,-10.700910456391115
2025-03-24,-10.120190198425222
2025-03-30,-10.184734839389948
2025-04-05,-9.870481060251649
2025-04-11,-10.178795667705181
2025-04-17,-10.644185639915515
2025-04-23,-10.500842535614957
2025-04-29,-10.214675423475136
2025-05-05,-11.287556621505871
2025-05-11,-9.143202198908709
2025-05-17,-10.735591769011927
2025-05-23,-10.344146749224187
2025-05-29,-9.24431394603189
2025-06-04,-9.645525938133735
2025-06-10,-10.523645042317007
2025-06-16,-11.477703710067464
2025-06-22,-11.580221726508002
2025-06-28,-10.954053569387554
2025-07-04,-10.254111287079962
2025-07-10,-10.217575449785697
2025-07-16,-10.57762039921428
2025-07-22,-9.665016547286442
2025-07-28,-11.356400639015174
2025-08-03,-10.538474487306273
2025-08-09,-10.922953693853886
2025-08-15,-10.790206395815884
2025-08-21,-11.138594865938785
2025-08-27,-10.252510121655439
2025-09-02,-11.200002234517912
2025-09-08,-11.063103032148208
2025-09-14,-12.101556572467858
2025-09-20,-11.2527448211571
2025-09-26,-10.708065519978568
2025-10-02,-10.161199803000299
2025-10-08,-10.012552181036884
2025-10-14,-11.034577593263975
2025-10-20,-8.880544371095903
2025-10-26,-8.714230119710493
2025-11-01,-9.870814322941673
2025-11-07,-10.050274446680769
2025-11-13,-8.400102289686881
2025-11-19,-9.20893908304741
2025-11-25,-9.462255090691746
2025-12-01,-10.444361741576726
2025-12-07,-10.106769209699337
2025-12-13,-8.122510507683518
2025-12-19,-9.948106853920375
2025-12-25,-9.000693953424468
2025-12-31,-8.787173458153605
2026-01-06,-8.839628392527905
2026-01-12,-10.876545657212448
2026-01-18,-10.042021742421593
2026-01-24,-12.05215183622889
2026-01-30,-10.579079918889228
2026-02-05,-11.211120207526683
2026-02-11,-9.809304362016595
2026-02-17,-9.019005659959843
2026-02-23,-10.370546700094524
2026-03-01,-9.962319458508464
2026-03-07,-9.871554007509937
2026-03-13,-9.689900809661935
2026-03-19,-10.223302508525894
2026-03-25,-10.060565169845365
