area,date,mean_NDVI,min_NDVI,max_NDVI,spread_max_minus_min
Broad Hualien AOI,2020-01-15,0.7057214183901817,-0.35521402955055237,0.9974093437194824,1.3526233732700348
Broad Hualien AOI,2020-02-15,0.6954681765048321,-0.23117376863956451,0.9220778942108154,1.15325166285038
Broad Hualien AOI,2020-03-15,0.6302986701017591,-0.04113614186644554,0.8949242830276489,0.9360604248940945
Broad Hualien AOI,2020-04-15,0.6591252271981928,-0.07033639401197433,0.8996686935424805,0.9700050875544548
Broad Hualien AOI,2020-05-15,0.6390377714948646,-0.11188673228025436,0.9506173133850098,1.0625040456652641
Broad Hualien AOI,2020-06-15,0.7524523545321395,-0.15876412391662598,0.9552361369132996,1.1140002608299255
Broad Hualien AOI,2020-07-15,0.7087553232943333,-0.06869030743837357,0.9412440657615662,1.0099343731999397
Broad Hualien AOI,2020-08-15,0.715674469690831,-0.10033116489648819,0.9400544762611389,1.040385641157627
Broad Hualien AOI,2020-09-15,0.6349259835793334,-0.057065218687057495,0.9256439208984375,0.982709139585495
Broad Hualien AOI,2020-10-15,0.6977834157906251,-0.13126200437545776,0.9327353239059448,1.0639973282814026
Broad Hualien AOI,2020-11-15,0.7554669174520843,-0.22942884266376495,0.953971803188324,1.183400645852089
Broad Hualien AOI,2020-12-15,0.698088830812076,-0.13301663100719452,0.9350220561027527,1.0680386871099472
Broad Hualien AOI,2021-01-15,0.7106521242841056,-0.1492537260055542,0.996196448802948,1.1454501748085022
Broad Hualien AOI,2021-02-15,0.6250713582107099,-0.08128544688224792,0.8906017541885376,0.9718872010707855
Broad Hualien AOI,2021-03-15,0.6923582906591935,-0.0935412049293518,0.9205160140991211,1.014057219028473
Broad Hualien AOI,2021-04-15,0.7241644295586436,-0.12941177189350128,0.9636806845664978,1.093092456459999
Broad Hualien AOI,2021-05-15,0.7164578859826936,-0.11546453088521957,0.9933884143829346,1.1088529452681541
Broad Hualien AOI,2021-06-15,,,,
Broad Hualien AOI,2021-07-15,0.7337113055087838,-0.2065242975950241,0.954779863357544,1.161304160952568
Broad Hualien AOI,2021-08-15,0.6709552449224692,-0.10327868908643723,0.9331165552139282,1.0363952443003654
Broad Hualien AOI,2021-09-15,0.6986441615169909,-0.13594163954257965,0.9566732048988342,1.0926148444414139
Broad Hualien AOI,2021-10-15,0.5742890496129393,-0.07713884860277176,0.8814263939857483,0.95856524258852
Broad Hualien AOI,2021-11-15,0.6937732781364506,-0.3713713586330414,0.9672897458076477,1.338661104440689
Broad Hualien AOI,2021-12-15,0.6965257654196967,-0.29022082686424255,0.9988221526145935,1.289042979478836
