threshold,TP,FP,TN,FN,F1,PA,UA,OA,Kappa
-0.05,13,8,18,8,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6595744680851063,0.31135531135531136
-0.1,12,4,22,9,0.6486486486486486,0.5714285714285714,0.75,0.723404255319149,0.42736644798500467
-0.15,12,2,24,9,0.6857142857142857,0.5714285714285714,0.8571428571428571,0.7659574468085106,0.510879848628193
-0.2,12,1,25,9,0.7058823529411765,0.5714285714285714,0.9230769230769231,0.7872340425531915,0.5532319391634981
-0.25,12,1,25,9,0.7058823529411765,0.5714285714285714,0.9230769230769231,0.7872340425531915,0.5532319391634981
-0.3,10,1,25,11,0.6249999999999999,0.47619047619047616,0.9090909090909091,0.7446808510638298,0.4587332053742802
-0.4,7,1,25,14,0.48275862068965514,0.3333333333333333,0.875,0.6808510638297872,0.3135345666991237
