layer,min,mean,max
ΔNDVI Pre→Mid,-0.8862403035163879,-0.02675923891365528,0.6862133741378784
ΔNDVI Pre→Post,-0.7444468140602112,-0.03547733649611473,0.5946685075759888
ΔNDWI Pre→Mid,-0.5438806414604187,0.019147969782352448,0.9697407484054565
ΔNDWI Pre→Post,-0.5651464462280273,0.02051033452153206,0.7211328148841858
ΔBSI Pre→Mid,-0.6699211597442627,-0.003549314336851239,0.5097598433494568
ΔBSI Pre→Post,-0.7288942933082581,-0.01385217159986496,0.43962734937667847
