"station_id","obsTime","ELEV","RAIN","MIN_10","HOUR_3","HOUR_6","HOUR_12","HOUR_24","NOW"
"CAD070","2022-10-29 00:00:00","241.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0C630","2022-10-29 00:00:00","209.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81M700","2022-10-29 00:00:00","1044.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"L1A840","2022-10-29 00:00:00","403.000","3.000","0.000","31.500","77.500","83.500","95.500","95.500"
"A2N290","2022-10-29 00:00:00","23.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81M660","2022-10-29 00:00:00","1186.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1Z130","2022-10-29 00:00:00","187.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0AD30","2022-10-29 00:00:00","20.000","0.000","0.000","1.000","1.000","1.000","1.500","1.500"
"C0D430","2022-10-29 00:00:00","87.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R680","2022-10-29 00:00:00","4.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X210","2022-10-29 00:00:00","38.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01A440","2022-10-29 00:00:00","916.000","0.000","0.000","1.000","1.000","5.000","9.000","9.000"
"CAC040","2022-10-29 00:00:00","1684.000","1.000","0.000","2.000","2.500","2.500","3.000","3.000"
"O1M640","2022-10-29 00:00:00","1052.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"O1M650","2022-10-29 00:00:00","850.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"88V560","2022-10-29 00:00:00","403.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0O960","2022-10-29 00:00:00","112.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1E511","2022-10-29 00:00:00","326.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0H950","2022-10-29 00:00:00","192.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"V2C250","2022-10-29 00:00:00","150.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1M400","2022-10-29 00:00:00","369.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAC020","2022-10-29 00:00:00","109.000","0.000","0.000","0.500","0.500","0.500","0.500","0.500"
"01D110","2022-10-29 00:00:00","560.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1I400","2022-10-29 00:00:00","1399.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"A1AC80","2022-10-29 00:00:00","111.000","0.000","0.000","3.500","8.000","9.500","16.000","16.000"
"C0C690","2022-10-29 00:00:00","242.000","1.000","0.000","4.000","6.000","6.000","9.000","9.000"
"C0I110","2022-10-29 00:00:00","161.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0V370","2022-10-29 00:00:00","74.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0M750","2022-10-29 00:00:00","10.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01A380","2022-10-29 00:00:00","101.000","0.000","0.000","3.000","15.000","19.000","22.000","22.000"
"C1H941","2022-10-29 00:00:00","630.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"467410","2022-10-29 00:00:00","40.800","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81S860","2022-10-29 00:00:00","188.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F9X0","2022-10-29 00:00:00","166.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0K590","2022-10-29 00:00:00","18.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"467550","2022-10-29 00:00:00","3844.800","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R480","2022-10-29 00:00:00","57.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"D2F230","2022-10-29 00:00:00","1734.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
