station_id,obsTime,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,station_name,county,town,lat,lon
01Q920,2022-10-30 00:00:00,750.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,新瑪家,屏東縣,瑪家鄉,22.675384,120.686784
C1I510,2022-10-30 00:00:00,1208.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,線浸林道,南投縣,鹿谷鄉,23.761508,120.832956
C0S690,2022-10-30 00:00:00,522.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,,,,,
C0A520,2022-10-30 00:00:00,48.0,-998.0,-998.0,-998.0,-998.0,0.5,0.5,0.5,山佳,新北市,樹林區,24.974944,121.402008
81D650,2022-10-30 00:00:00,268.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,內灣國小,新竹縣,橫山鄉,24.705412,121.183143
C0X130,2022-10-30 00:00:00,27.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,官田,臺南市,官田區,23.193217,120.315422
C0V400,2022-10-30 00:00:00,56.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,阿公店,高雄市,燕巢區,22.804194,120.355528
C1E890,2022-10-30 00:00:00,53.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國三N149K,苗栗縣,通霄鎮,24.463414,120.680019
C0G720,2022-10-30 00:00:00,50.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,溪州,彰化縣,溪州鄉,23.851597,120.499083
01H210,2022-10-30 00:00:00,1590.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,翠巒,南投縣,仁愛鄉,24.182576,121.203514
C0T9A0,2022-10-30 00:00:00,498.0,1.5,0.0,3.5,11.5,15.5,46.0,46.0,月眉山,花蓮縣,壽豐鄉,23.809928,121.539828
C0AH40,2022-10-30 00:00:00,426.0,2.0,0.5,3.5,3.5,5.0,5.5,5.5,平等,臺北市,士林區,25.129142,121.577086
C1V170,2022-10-30 00:00:00,3690.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,排雲,高雄市,桃源區,23.463619,120.954147
C0FA30,2022-10-30 00:00:00,31.7,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,梧棲,臺中市,梧棲區,24.256003,120.523381
C0X280,2022-10-30 00:00:00,22.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,將軍,臺南市,將軍區,23.214972,120.135761
81D670,2022-10-30 00:00:00,110.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,田埔分校,新竹縣,尖石鄉,24.641389,121.278611
C1E461,2022-10-30 00:00:00,1325.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,松安,苗栗縣,泰安鄉,24.397972,120.986022
C0V620,2022-10-30 00:00:00,18.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,永安,高雄市,永安區,22.82315,120.236856
C0C720,2022-10-30 00:00:00,21.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,竹圍,桃園市,大園區,25.112694,121.239825
C0K460,2022-10-30 00:00:00,60.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,斗南,雲林縣,斗南鎮,23.678725,120.478347
