"station_id","obsTime","ELEV","RAIN","MIN_10","HOUR_3","HOUR_6","HOUR_12","HOUR_24","NOW"
"A1AG30","2022-10-28 00:00:00","160.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0C630","2022-10-28 00:00:00","209.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81M700","2022-10-28 00:00:00","1044.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"L1A840","2022-10-28 00:00:00","403.000","0.000","0.000","0.500","2.000","2.000","2.000","2.000"
"A2N290","2022-10-28 00:00:00","23.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81M660","2022-10-28 00:00:00","1186.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1Z130","2022-10-28 00:00:00","187.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0AD30","2022-10-28 00:00:00","20.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0D430","2022-10-28 00:00:00","87.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R680","2022-10-28 00:00:00","4.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X210","2022-10-28 00:00:00","38.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01A440","2022-10-28 00:00:00","916.000","1.000","0.000","2.000","2.000","2.000","2.000","2.000"
"CAQ030","2022-10-28 00:00:00","10.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAC040","2022-10-28 00:00:00","1684.000","0.000","0.000","0.000","0.500","0.500","0.500","0.500"
"O1M640","2022-10-28 00:00:00","1052.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"O1M650","2022-10-28 00:00:00","850.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"88V560","2022-10-28 00:00:00","403.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0O960","2022-10-28 00:00:00","112.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1E511","2022-10-28 00:00:00","326.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0H950","2022-10-28 00:00:00","192.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"V2C250","2022-10-28 00:00:00","150.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1M400","2022-10-28 00:00:00","369.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAC020","2022-10-28 00:00:00","109.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01D110","2022-10-28 00:00:00","560.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1I400","2022-10-28 00:00:00","1399.000","-998.000","-998.000","-998.000","-998.000","0.000","1.500","1.500"
"A1AC80","2022-10-28 00:00:00","111.000","0.000","0.000","1.000","1.000","1.000","1.000","1.000"
"C0C690","2022-10-28 00:00:00","242.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0I110","2022-10-28 00:00:00","161.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0V370","2022-10-28 00:00:00","74.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0M750","2022-10-28 00:00:00","10.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01A380","2022-10-28 00:00:00","101.000","0.000","0.000","1.000","1.000","1.000","1.000","1.000"
"C1H941","2022-10-28 00:00:00","630.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"467410","2022-10-28 00:00:00","40.800","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81S860","2022-10-28 00:00:00","188.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F9X0","2022-10-28 00:00:00","166.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0K590","2022-10-28 00:00:00","18.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"467550","2022-10-28 00:00:00","3844.800","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R480","2022-10-28 00:00:00","57.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"D2F230","2022-10-28 00:00:00","1734.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1T830","2022-10-28 00:00:00","675.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"466910","2022-10-28 00:00:00","832.600","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"G2P820","2022-10-28 00:00:00","37.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0U910","2022-10-28 00:00:00","17.000","3.000","1.500","7.500","7.500","7.500","7.500","7.500"
"C0U600","2022-10-28 00:00:00","10.000","0.000","0.000","1.000","1.000","1.000","1.000","1.000"
"C1V830","2022-10-28 00:00:00","114.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAH010","2022-10-28 00:00:00","109.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"E2P980","2022-10-28 00:00:00","272.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81AH70","2022-10-28 00:00:00","93.000","0.000","0.000","4.000","10.500","10.500","10.500","10.500"
"CAD030","2022-10-28 00:00:00","137.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0K510","2022-10-28 00:00:00","10.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0M780","2022-10-28 00:00:00","30.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01E370","2022-10-28 00:00:00","203.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0K530","2022-10-28 00:00:00","12.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0V750","2022-10-28 00:00:00","50.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0T790","2022-10-28 00:00:00","2830.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0S730","2022-10-28 00:00:00","110.000","0.000","0.000","0.500","0.500","0.500","0.500","0.500"
"01L910","2022-10-28 00:00:00","95.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1T950","2022-10-28 00:00:00","1050.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"81D760","2022-10-28 00:00:00","220.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F9Q0","2022-10-28 00:00:00","149.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0SA80","2022-10-28 00:00:00","136.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X320","2022-10-28 00:00:00","33.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0U860","2022-10-28 00:00:00","5.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAJ040","2022-10-28 00:00:00","14.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1E451","2022-10-28 00:00:00","950.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F0C0","2022-10-28 00:00:00","983.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01T240","2022-10-28 00:00:00","940.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F9Z0","2022-10-28 00:00:00","3193.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0D480","2022-10-28 00:00:00","223.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1F9W0","2022-10-28 00:00:00","1970.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"466930","2022-10-28 00:00:00","607.100","0.000","0.000","0.500","0.500","0.500","0.500","0.500"
"C0SA60","2022-10-28 00:00:00","11.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1I150","2022-10-28 00:00:00","393.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1V190","2022-10-28 00:00:00","2700.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0AH30","2022-10-28 00:00:00","755.000","0.000","0.000","1.500","3.500","3.500","3.500","3.500"
"C0UA90","2022-10-28 00:00:00","5.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1U920","2022-10-28 00:00:00","2085.000","0.000","0.000","1.500","3.000","4.000","4.000","4.000"
"C1R610","2022-10-28 00:00:00","1828.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0M790","2022-10-28 00:00:00","15.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0G780","2022-10-28 00:00:00","27.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1K540","2022-10-28 00:00:00","15.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0W130","2022-10-28 00:00:00","18.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81S900","2022-10-28 00:00:00","328.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F9R0","2022-10-28 00:00:00","20.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAA080","2022-10-28 00:00:00","97.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1G690","2022-10-28 00:00:00","110.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1I290","2022-10-28 00:00:00","1151.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1V590","2022-10-28 00:00:00","741.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1T800","2022-10-28 00:00:00","1260.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01O080","2022-10-28 00:00:00","86.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R740","2022-10-28 00:00:00","58.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X120","2022-10-28 00:00:00","28.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"468100","2022-10-28 00:00:00","4.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R670","2022-10-28 00:00:00","26.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAN030","2022-10-28 00:00:00","21.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0W110","2022-10-28 00:00:00","16.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0AC70","2022-10-28 00:00:00","71.000","0.000","0.000","0.500","1.000","1.000","1.000","1.000"
"81E720","2022-10-28 00:00:00","482.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"A0G720","2022-10-28 00:00:00","37.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0K580","2022-10-28 00:00:00","26.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"00H710","2022-10-28 00:00:00","215.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0T9B0","2022-10-28 00:00:00","558.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0S990","2022-10-28 00:00:00","409.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01T9J0","2022-10-28 00:00:00","730.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1V340","2022-10-28 00:00:00","190.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1U690","2022-10-28 00:00:00","101.000","0.500","0.000","9.000","9.000","10.000","10.000","10.000"
"A1AA00","2022-10-28 00:00:00","28.000","0.000","0.000","0.500","1.000","1.000","1.000","1.000"
"C0I490","2022-10-28 00:00:00","1601.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAF020","2022-10-28 00:00:00","209.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01A210","2022-10-28 00:00:00","600.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"72T250","2022-10-28 00:00:00","36.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81F880","2022-10-28 00:00:00","482.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1E721","2022-10-28 00:00:00","1409.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0G660","2022-10-28 00:00:00","27.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R810","2022-10-28 00:00:00","25.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0E750","2022-10-28 00:00:00","62.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAA020","2022-10-28 00:00:00","27.000","0.000","0.000","0.500","0.500","0.500","0.500","0.500"
"C0T9G0","2022-10-28 00:00:00","605.000","0.000","0.000","0.000","1.000","1.000","1.000","1.000"
"01S210","2022-10-28 00:00:00","173.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"A1AG60","2022-10-28 00:00:00","122.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0S700","2022-10-28 00:00:00","507.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"467490","2022-10-28 00:00:00","84.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01E060","2022-10-28 00:00:00","658.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0V610","2022-10-28 00:00:00","22.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAE090","2022-10-28 00:00:00","89.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0E610","2022-10-28 00:00:00","850.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1F9C1","2022-10-28 00:00:00","610.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81F910","2022-10-28 00:00:00","572.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0M720","2022-10-28 00:00:00","225.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAP070","2022-10-28 00:00:00","34.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAE100","2022-10-28 00:00:00","47.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1R250","2022-10-28 00:00:00","92.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0K420","2022-10-28 00:00:00","42.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F9Y0","2022-10-28 00:00:00","3313.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0C730","2022-10-28 00:00:00","5.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81M710","2022-10-28 00:00:00","1055.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"C0Z330","2022-10-28 00:00:00","488.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0E590","2022-10-28 00:00:00","40.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAP060","2022-10-28 00:00:00","93.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0V820","2022-10-28 00:00:00","441.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"72N100","2022-10-28 00:00:00","41.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"72S590","2022-10-28 00:00:00","290.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0AC80","2022-10-28 00:00:00","40.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAG070","2022-10-28 00:00:00","23.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAF060","2022-10-28 00:00:00","117.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0E910","2022-10-28 00:00:00","25.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81D640","2022-10-28 00:00:00","608.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0M810","2022-10-28 00:00:00","1354.000","-998.000","-998.000","-998.000","-998.000","0.000","1.500","1.500"
"CAD010","2022-10-28 00:00:00","36.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"72G600","2022-10-28 00:00:00","19.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81S920","2022-10-28 00:00:00","135.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0C620","2022-10-28 00:00:00","19.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAD050","2022-10-28 00:00:00","75.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
