station_id,obsTime,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,station_name,county,town,lat,lon
A1AD50,2022-09-11 00:00:00,121.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,劍南路,臺北市,中山區,25.089894,121.55131
C0C630,2022-09-11 00:00:00,209.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,大溪,桃園市,大溪區,24.882853,121.265547
81M700,2022-09-11 00:00:00,1044.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,,,,,
L1A840,2022-09-11 00:00:00,403.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,太平,新北市,雙溪區,24.971779,121.828198
A2N290,2022-09-11 00:00:00,23.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,臺南蘭花園區,臺南市,後壁區,23.340258,120.379661
81M660,2022-09-11 00:00:00,1186.0,-998.0,-998.0,-998.0,-998.0,0.0,0.5,0.5,阿里山國小,嘉義縣,阿里山鄉,23.469067,120.701672
C1Z130,2022-09-11 00:00:00,187.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,銅門,花蓮縣,秀林鄉,23.965694,121.492842
C0AD30,2022-09-11 00:00:00,20.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,蘆洲,新北市,蘆洲區,25.086594,121.472331
C0D430,2022-09-11 00:00:00,87.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,峨眉,新竹縣,峨眉鄉,24.6905,121.017189
C0R680,2022-09-11 00:00:00,4.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,佳樂水,屏東縣,滿州鄉,21.993578,120.861633
C0X210,2022-09-11 00:00:00,38.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,白河,臺南市,白河區,23.347467,120.414428
01A440,2022-09-11 00:00:00,916.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,大桶山,新北市,烏來區,24.876212,121.562992
CAQ030,2022-09-11 00:00:00,10.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,崎峰國小,屏東縣,林邊鄉,22.42565,120.49521
