"station_id","obsTime","ELEV","RAIN","MIN_10","HOUR_3","HOUR_6","HOUR_12","HOUR_24","NOW"
"C1T950","2022-09-14 00:00:00","1050.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81D760","2022-09-14 00:00:00","220.000","-998.000","-998.000","-998.000","-998.000","1.500","39.500","39.500"
"C0F9Q0","2022-09-14 00:00:00","149.000","-998.000","-998.000","-998.000","-998.000","0.000","7.500","7.500"
"C0SA80","2022-09-14 00:00:00","136.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X320","2022-09-14 00:00:00","33.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"C0U860","2022-09-14 00:00:00","5.000","0.000","0.000","0.500","3.000","5.500","25.000","25.000"
"CAJ040","2022-09-14 00:00:00","14.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1E451","2022-09-14 00:00:00","950.000","-998.000","-998.000","-998.000","-998.000","1.000","30.000","30.000"
"A0W080","2022-09-14 00:00:00","3.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F0C0","2022-09-14 00:00:00","983.000","-998.000","-998.000","-998.000","-998.000","3.500","22.500","22.500"
"01T240","2022-09-14 00:00:00","940.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F9Z0","2022-09-14 00:00:00","3193.000","0.000","0.000","1.500","4.500","9.500","17.000","17.000"
"C0D480","2022-09-14 00:00:00","223.000","-998.000","-998.000","-998.000","-998.000","0.000","16.000","16.000"
"C1F9W0","2022-09-14 00:00:00","1970.000","-998.000","-998.000","-998.000","-998.000","0.000","1.500","1.500"
"466930","2022-09-14 00:00:00","607.100","9.500","0.000","26.500","53.500","61.000","110.500","110.500"
"C0SA60","2022-09-14 00:00:00","11.000","74.500","5.500","90.000","90.000","90.000","90.000","90.000"
"C1I150","2022-09-14 00:00:00","393.000","-998.000","-998.000","-998.000","-998.000","4.500","14.000","14.000"
"C1V190","2022-09-14 00:00:00","2700.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0AH30","2022-09-14 00:00:00","755.000","2.500","0.000","9.500","26.000","29.500","46.500","46.500"
"C0UA90","2022-09-14 00:00:00","5.000","0.000","0.000","0.500","1.000","5.000","13.500","13.500"
"C1U920","2022-09-14 00:00:00","2085.000","0.000","0.000","0.500","2.000","2.500","6.000","6.000"
"C1R610","2022-09-14 00:00:00","1828.000","-998.000","-998.000","-998.000","-998.000","0.500","0.500","0.500"
"C0M790","2022-09-14 00:00:00","15.000","-998.000","-998.000","-998.000","-998.000","0.000","1.500","1.500"
"C0G780","2022-09-14 00:00:00","27.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"C1K540","2022-09-14 00:00:00","15.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0W130","2022-09-14 00:00:00","18.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81S900","2022-09-14 00:00:00","328.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F9R0","2022-09-14 00:00:00","20.000","-998.000","-998.000","-998.000","-998.000","0.000","1.000","1.000"
"CAA080","2022-09-14 00:00:00","97.000","-998.000","-998.000","-998.000","-998.000","1.500","20.000","20.000"
"C1G690","2022-09-14 00:00:00","110.000","-998.000","-998.000","-998.000","-998.000","0.000","6.000","6.000"
"C1I290","2022-09-14 00:00:00","1151.000","-998.000","-998.000","-998.000","-998.000","3.000","20.000","20.000"
"C1V590","2022-09-14 00:00:00","741.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"C1T800","2022-09-14 00:00:00","1260.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01O080","2022-09-14 00:00:00","86.000","-998.000","-998.000","-998.000","-998.000","0.000","1.000","1.000"
"C0R740","2022-09-14 00:00:00","58.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X120","2022-09-14 00:00:00","28.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"468100","2022-09-14 00:00:00","4.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R670","2022-09-14 00:00:00","26.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAN030","2022-09-14 00:00:00","21.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0W110","2022-09-14 00:00:00","16.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0AC70","2022-09-14 00:00:00","71.000","8.000","2.000","15.000","17.500","19.000","42.500","42.500"
"81E720","2022-09-14 00:00:00","482.000","-998.000","-998.000","-998.000","-998.000","0.000","10.000","10.000"
